Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,Home_Win
15,Eagles,Seahawks,Seahawks,371,4167,11.2,23,56,6,73,189,50.9,0,369,4067,11.0,24,50,7,63,197,53.4,4,1
18,Eagles,Giants,Giants,338,3351,9.9,15,44,7,80,141,41.7,3,369,4067,11.0,24,50,7,63,197,53.4,4,1
6,Eagles,Jets,Jets,356,3373,9.5,11,37,3,68,156,43.8,2,369,4067,11.0,24,50,7,63,197,53.4,4,1
3,Eagles,Buccaneers,Eagles,364,4044,11.1,28,60,12,75,188,51.6,7,369,4067,11.0,24,50,7,63,197,53.4,4,0
5,Eagles,Rams,Eagles,361,4300,11.9,26,64,8,80,206,57.1,4,369,4067,11.0,24,50,7,63,197,53.4,4,0
14,Eagles,Cowboys,Cowboys,428,4660,10.9,36,64,7,92,229,53.5,6,369,4067,11.0,24,50,7,63,197,53.4,4,1
14,Bills,Chiefs,Bills,421,4383,10.4,28,52,8,67,216,51.3,7,385,4306,11.2,29,49,9,81,199,51.7,6,0
3,Bills,Commanders,Bills,407,4174,10.3,24,48,5,51,190,46.7,5,385,4306,11.2,29,49,9,81,199,51.7,6,0
12,Bills,Eagles,Eagles,369,4067,11.0,24,50,7,63,197,53.4,4,385,4306,11.2,29,49,9,81,199,51.7,6,1
16,Bills,Chargers,Bills,409,4312,10.5,24,55,7,79,204,49.9,8,385,4306,11.2,29,49,9,81,199,51.7,6,0
1,Bills,Jets,Jets,356,3373,9.5,11,37,3,68,156,43.8,2,385,4306,11.2,29,49,9,81,199,51.7,6,1
9,Bills,Bengals,Bengals,420,4257,10.1,27,46,10,80,208,49.5,3,385,4306,11.2,29,49,9,81,199,51.7,6,1
7,Bills,Patriots,Patriots,351,3392,9.7,16,34,4,58,153,43.6,5,385,4306,11.2,29,49,9,81,199,51.7,6,1
18,Bills,Dolphins,Bills,393,4698,12.0,30,59,12,78,223,56.7,4,385,4306,11.2,29,49,9,81,199,51.7,6,0
16,Raiders,Chiefs,Raiders,421,4383,10.4,28,52,8,67,216,51.3,7,348,3666,10.5,20,35,5,50,182,52.3,3,0
17,Raiders,Colts,Colts,355,3882,10.9,18,45,11,75,178,50.1,3,348,3666,10.5,20,35,5,50,182,52.3,3,1
7,Raiders,Bears,Bears,321,3421,10.7,19,48,5,58,169,52.6,4,348,3666,10.5,20,35,5,50,182,52.3,3,1
1,Raiders,Broncos,Raiders,337,3566,10.6,28,44,13,60,154,45.7,7,348,3666,10.5,20,35,5,50,182,52.3,3,0
4,Raiders,Chargers,Chargers,409,4312,10.5,24,55,7,79,204,49.9,8,348,3666,10.5,20,35,5,50,182,52.3,3,1
2,Raiders,Bills,Bills,385,4306,11.2,29,49,9,81,199,51.7,6,348,3666,10.5,20,35,5,50,182,52.3,3,1
8,Raiders,Lions,Lions,408,4606,11.3,30,70,9,70,228,55.9,4,348,3666,10.5,20,35,5,50,182,52.3,3,1
11,Raiders,Dolphins,Dolphins,393,4698,12.0,30,59,12,78,223,56.7,4,348,3666,10.5,20,35,5,50,182,52.3,3,1
17,Bengals,Chiefs,Chiefs,421,4383,10.4,28,52,8,67,216,51.3,7,420,4257,10.1,27,46,10,80,208,49.5,3,1
1,Bengals,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,420,4257,10.1,27,46,10,80,208,49.5,3,1
16,Bengals,Steelers,Steelers,323,3421,10.6,13,41,9,86,153,47.4,6,420,4257,10.1,27,46,10,80,208,49.5,3,1
