Week,Away Team,Home Team,Winning Team,Att_home,Rush Yds_home,YPC_home,TD_home,20_home,40_home,Lng_home,Rush 1st_home,Rush 1st%_home,Rush FUM_home,Att_away,Rush Yds_away,YPC_away,TD_away,20_away,40_away,Lng_away,Rush 1st_away,Rush 1st%_away,Rush FUM_away,Home_Win
6,Cowboys,Chargers,Cowboys,467,1924,4.1,18,11,1,75,110,23.6,8,459,1910,4.2,14,9,2,45,108,23.5,8,0
1,Cowboys,Giants,Cowboys,475,2251,4.7,24,15,1,76,134,28.2,6,459,1910,4.2,14,9,2,45,108,23.5,8,0
15,Cowboys,Bills,Bills,409,1880,4.6,14,13,2,83,96,23.5,4,459,1910,4.2,14,9,2,45,108,23.5,8,1
3,Cowboys,Cardinals,Cardinals,521,2434,4.7,19,12,1,56,141,27.1,4,459,1910,4.2,14,9,2,45,108,23.5,8,1
11,Cowboys,Panthers,Cowboys,508,2081,4.1,25,12,3,62,122,24.0,4,459,1910,4.2,14,9,2,45,108,23.5,8,0
5,Cowboys,49ers,49ers,369,1525,4.1,10,10,2,49,97,26.3,4,459,1910,4.2,14,9,2,45,108,23.5,8,1
16,Cowboys,Dolphins,Dolphins,433,1650,3.8,15,6,2,55,109,25.2,5,459,1910,4.2,14,9,2,45,108,23.5,8,1
9,Seahawks,Ravens,Ravens,415,1860,4.5,6,10,3,63,96,23.1,4,515,2352,4.6,24,18,4,72,143,27.8,3,1
4,Seahawks,Giants,Seahawks,475,2251,4.7,24,15,1,76,134,28.2,6,515,2352,4.6,24,18,4,72,143,27.8,3,0
6,Seahawks,Bengals,Bengals,456,2145,4.7,17,17,1,41,127,27.8,6,515,2352,4.6,24,18,4,72,143,27.8,3,1
2,Seahawks,Lions,Seahawks,408,1509,3.7,15,5,0,37,91,22.3,4,515,2352,4.6,24,18,4,72,143,27.8,3,0
16,Seahawks,Titans,Seahawks,480,1831,3.8,10,7,1,56,103,21.5,3,515,2352,4.6,24,18,4,72,143,27.8,3,0
11,Seahawks,Rams,Rams,433,1816,4.2,14,10,1,51,108,24.9,7,515,2352,4.6,24,18,4,72,143,27.8,3,1
18,Seahawks,Cardinals,Seahawks,521,2434,4.7,19,12,1,56,141,27.1,4,515,2352,4.6,24,18,4,72,143,27.8,3,0
13,Seahawks,Cowboys,Cowboys,459,1910,4.2,14,9,2,45,108,23.5,8,515,2352,4.6,24,18,4,72,143,27.8,3,1
14,Seahawks,49ers,49ers,369,1525,4.1,10,10,2,49,97,26.3,4,515,2352,4.6,24,18,4,72,143,27.8,3,1
