Week,Away Team,Home Team,Winning Team,FF_home,FR_home,FR TD_home,Rec FUM_home,Rush FUM_home,FF_away,FR_away,FR TD_away,Rec FUM_away,Rush FUM_away,Home_Win
9,Cardinals,Browns,Browns,14,10,1,2,5,6,6,1,2,4,1
13,Cardinals,Steelers,Cardinals,19,11,1,6,8,6,6,1,2,4,0
1,Cardinals,Commanders,Commanders,10,10,0,3,8,6,6,1,2,4,1
16,Cardinals,Bears,Bears,13,6,0,4,6,6,6,1,2,4,1
17,Cardinals,Eagles,Cardinals,16,8,1,6,5,6,6,1,2,4,0
7,Cardinals,Seahawks,Seahawks,13,8,0,5,3,6,6,1,2,4,1
11,Cardinals,Texans,Texans,15,10,1,6,5,6,6,1,2,4,1
6,Cardinals,Rams,Rams,7,5,0,2,7,6,6,1,2,4,1
4,Cardinals,49ers,49ers,10,6,0,6,4,6,6,1,2,4,1
11,Steelers,Browns,Browns,14,10,1,2,5,19,11,1,6,8,1
15,Steelers,Colts,Colts,17,9,1,4,7,19,11,1,6,8,1
18,Steelers,Ravens,Steelers,16,13,0,3,4,19,11,1,6,8,0
17,Steelers,Seahawks,Steelers,13,8,0,5,3,19,11,1,6,8,0
12,Steelers,Bengals,Steelers,11,9,0,4,6,19,11,1,6,8,0
4,Steelers,Texans,Texans,15,10,1,6,5,19,11,1,6,8,1
7,Steelers,Rams,Steelers,7,5,0,2,7,19,11,1,6,8,0
3,Steelers,Raiders,Steelers,14,9,2,4,6,19,11,1,6,8,0
14,Jaguars,Browns,Browns,14,10,1,2,5,12,11,0,5,4,1
1,Jaguars,Colts,Jaguars,17,9,1,4,7,12,11,0,5,4,0
7,Jaguars,Saints,Jaguars,8,11,1,4,4,12,11,0,5,4,0
8,Jaguars,Steelers,Jaguars,19,11,1,6,8,12,11,0,5,4,0
5,Jaguars,Bills,Jaguars,14,11,0,7,4,12,11,0,5,4,0
18,Jaguars,Titans,Titans,13,8,0,2,3,12,11,0,5,4,1
16,Jaguars,Buccaneers,Buccaneers,18,12,0,6,8,12,11,0,5,4,1
12,Jaguars,Texans,Jaguars,15,10,1,6,5,12,11,0,5,4,0
17,Jets,Browns,Browns,14,10,1,2,5,14,10,1,5,13,1
5,Jets,Broncos,Jets,19,15,1,2,12,14,10,1,5,13,0
8,Jets,Giants,Jets,19,13,0,8,6,14,10,1,5,13,0
11,Jets,Bills,Bills,14,11,0,7,4,14,10,1,5,13,1
2,Jets,Cowboys,Cowboys,14,8,1,5,8,14,10,1,5,13,1
18,Jets,Patriots,Jets,15,8,1,3,11,14,10,1,5,13,0
15,Jets,Dolphins,Dolphins,15,12,0,6,5,14,10,1,5,13,1
10,Jets,Raiders,Raiders,14,9,2,4,6,14,10,1,5,13,1
4,Rams,Colts,Rams,17,9,1,4,7,7,5,0,2,7,0
14,Rams,Ravens,Ravens,16,13,0,3,4,7,5,0,2,7,1
1,Rams,Seahawks,Rams,13,8,0,5,3,7,5,0,2,7,0
17,Rams,Giants,Rams,19,13,0,8,6,7,5,0,2,7,0
3,Rams,Bengals,Bengals,11,9,0,4,6,7,5,0,2,7,1
12,Rams,Cardinals,Rams,6,6,1,2,4,7,5,0,2,7,0
8,Rams,Cowboys,Cowboys,14,8,1,5,8,7,5,0,2,7,1
18,Rams,49ers,Rams,10,6,0,6,4,7,5,0,2,7,0
9,Rams,Packers,Packers,10,11,1,1,5,7,5,0,2,7,1
7,Browns,Colts,Browns,17,9,1,4,7,14,10,1,2,5,0
2,Browns,Steelers,Steelers,19,11,1,6,8,14,10,1,2,5,1
10,Browns,Ravens,Browns,16,13,0,3,4,14,10,1,2,5,0
12,Browns,Broncos,Broncos,19,15,1,2,12,14,10,1,2,5,1
8,Browns,Seahawks,Seahawks,13,8,0,5,3,14,10,1,2,5,1
18,Browns,Bengals,Bengals,11,9,0,4,6,14,10,1,2,5,1
16,Browns,Texans,Browns,15,10,1,6,5,14,10,1,2,5,0
13,Browns,Rams,Rams,7,5,0,2,7,14,10,1,2,5,1
5,Chiefs,Vikings,Chiefs,22,11,2,9,7,15,9,2,6,7,0
8,Chiefs,Broncos,Broncos,19,15,1,2,12,15,9,2,6,7,1
18,Chiefs,Chargers,Chiefs,15,12,0,3,8,15,9,2,6,7,0
4,Chiefs,Jets,Chiefs,14,10,1,5,13,15,9,2,6,7,0
2,Chiefs,Jaguars,Chiefs,12,11,0,5,4,15,9,2,6,7,0
15,Chiefs,Patriots,Patriots,15,8,1,3,11,15,9,2,6,7,0
13,Chiefs,Packers,Packers,10,11,1,1,5,15,9,2,6,7,1
12,Chiefs,Raiders,Chiefs,14,9,2,4,6,15,9,2,6,7,0
15,Giants,Saints,Saints,8,11,1,4,4,19,13,0,8,6,1
11,Giants,Commanders,Giants,10,10,0,3,8,19,13,0,8,6,0
16,Giants,Eagles,Eagles,16,8,1,6,5,19,13,0,8,6,1
6,Giants,Bills,Bills,14,11,0,7,4,19,13,0,8,6,1
2,Giants,Cardinals,Giants,6,6,1,2,4,19,13,0,8,6,0
10,Giants,Cowboys,Cowboys,14,8,1,5,8,19,13,0,8,6,1
3,Giants,49ers,49ers,10,6,0,6,4,19,13,0,8,6,1
5,Giants,Dolphins,Dolphins,15,12,0,6,5,19,13,0,8,6,1
9,Giants,Raiders,Raiders,14,9,2,4,6,19,13,0,8,6,1
18,Falcons,Saints,Saints,8,11,1,4,4,19,8,0,3,9,1
17,Falcons,Bears,Bears,13,6,0,4,6,19,8,0,3,9,1
3,Falcons,Lions,Lions,13,6,0,3,4,19,8,0,3,9,1
8,Falcons,Titans,Titans,13,8,0,2,3,19,8,0,3,9,1
7,Falcons,Buccaneers,Falcons,18,12,0,6,8,19,8,0,3,9,0
4,Falcons,Jaguars,Jaguars,12,11,0,5,4,19,8,0,3,9,1
10,Falcons,Cardinals,Cardinals,6,6,1,2,4,19,8,0,3,9,1
15,Falcons,Panthers,Panthers,5,3,0,3,4,19,8,0,3,9,1
14,Patriots,Steelers,Patriots,19,11,1,6,8,15,8,1,3,11,0
16,Patriots,Broncos,Patriots,19,15,1,2,12,15,8,1,3,11,0
1,Patriots,Eagles,Eagles,16,8,1,6,5,15,8,1,3,11,1
12,Patriots,Giants,Giants,19,13,0,8,6,15,8,1,3,11,1
3,Patriots,Jets,Patriots,14,10,1,5,13,15,8,1,3,11,0
17,Patriots,Bills,Bills,14,11,0,7,4,15,8,1,3,11,1
4,Patriots,Cowboys,Cowboys,14,8,1,5,8,15,8,1,3,11,1
8,Patriots,Dolphins,Dolphins,15,12,0,6,5,15,8,1,3,11,1
6,Patriots,Raiders,Raiders,14,9,2,4,6,15,8,1,3,11,1
18,Cowboys,Commanders,Cowboys,10,10,0,3,8,14,8,1,5,8,0
9,Cowboys,Eagles,Eagles,16,8,1,6,5,14,8,1,5,8,1
6,Cowboys,Chargers,Cowboys,15,12,0,3,8,14,8,1,5,8,0
1,Cowboys,Giants,Cowboys,19,13,0,8,6,14,8,1,5,8,0
15,Cowboys,Bills,Bills,14,11,0,7,4,14,8,1,5,8,1
3,Cowboys,Cardinals,Cardinals,6,6,1,2,4,14,8,1,5,8,1
11,Cowboys,Panthers,Cowboys,5,3,0,3,4,14,8,1,5,8,0
5,Cowboys,49ers,49ers,10,6,0,6,4,14,8,1,5,8,1
16,Cowboys,Dolphins,Dolphins,15,12,0,6,5,14,8,1,5,8,1
9,Seahawks,Ravens,Ravens,16,13,0,3,4,13,8,0,5,3,1
4,Seahawks,Giants,Seahawks,19,13,0,8,6,13,8,0,5,3,0
6,Seahawks,Bengals,Bengals,11,9,0,4,6,13,8,0,5,3,1
2,Seahawks,Lions,Seahawks,13,6,0,3,4,13,8,0,5,3,0
16,Seahawks,Titans,Seahawks,13,8,0,2,3,13,8,0,5,3,0
11,Seahawks,Rams,Rams,7,5,0,2,7,13,8,0,5,3,1
18,Seahawks,Cardinals,Seahawks,6,6,1,2,4,13,8,0,5,3,0
13,Seahawks,Cowboys,Cowboys,14,8,1,5,8,13,8,0,5,3,1
14,Seahawks,49ers,49ers,10,6,0,6,4,13,8,0,5,3,1
