Week,Away Team,Home Team,Winning Team,Att_home,Cmp_home,Cmp %_home,Yds/Att_home,Pass Yds_home,TD_home,INT_home,Rate_home,1st_home,1st%_home,20_home,40_home,Lng_home,Sck_home,SckY_home,Att_away,Cmp_away,Cmp %_away,Yds/Att_away,Pass Yds_away,TD_away,INT_away,Rate_away,1st_away,1st%_away,20_away,40_away,Lng_away,Sck_away,SckY_away,Home_Win
14,Patriots,Steelers,Patriots,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,0
16,Patriots,Broncos,Patriots,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,0
1,Patriots,Eagles,Eagles,563,369,65.5,7.2,4067,24,16,89.2,197,35.0,50,7,63,39,233,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,1
12,Patriots,Giants,Giants,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,1
3,Patriots,Jets,Patriots,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,0
17,Patriots,Bills,Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,1
4,Patriots,Cowboys,Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,1
8,Patriots,Dolphins,Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,1
6,Patriots,Raiders,Raiders,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,1
18,Cowboys,Commanders,Cowboys,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,0
9,Cowboys,Eagles,Eagles,563,369,65.5,7.2,4067,24,16,89.2,197,35.0,50,7,63,39,233,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,1
6,Cowboys,Chargers,Cowboys,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,0
1,Cowboys,Giants,Cowboys,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,0
15,Cowboys,Bills,Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,1
