Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,PRet T_home,20_home,40_home,Lng_home,FC_home,FUM_home,P Blk_home,Avg_away,Ret_away,Yds_away,PRet T_away,20_away,40_away,Lng_away,FC_away,FUM_away,P Blk_away,Home_Win
6,Vikings,Bears,Vikings,8.2,23,188,0,1,0,31,21,2,0,7.8,37,289,0,3,0,25,14,1,0,0
11,Vikings,Broncos,Broncos,16.3,20,326,0,5,2,52,15,1,0,7.8,37,289,0,3,0,25,14,1,0,1
2,Vikings,Eagles,Eagles,14.4,29,417,0,7,2,54,18,2,0,7.8,37,289,0,3,0,25,14,1,0,1
15,Vikings,Bengals,Bengals,10.2,34,346,1,4,1,81,16,1,0,7.8,37,289,0,3,0,25,14,1,0,1
18,Vikings,Lions,Lions,11.4,29,331,0,3,1,42,23,1,0,7.8,37,289,0,3,0,25,14,1,0,1
4,Vikings,Panthers,Vikings,8.7,37,322,1,4,1,79,20,2,0,7.8,37,289,0,3,0,25,14,1,0,0
8,Vikings,Packers,Vikings,7.3,26,189,0,3,0,35,15,6,0,7.8,37,289,0,3,0,25,14,1,0,0
14,Vikings,Raiders,Vikings,10.0,25,249,0,1,0,32,18,2,0,7.8,37,289,0,3,0,25,14,1,0,0
12,Saints,Falcons,Falcons,7.2,33,239,0,1,0,23,18,2,0,12.2,32,392,1,2,1,76,24,0,0,1
8,Saints,Colts,Saints,9.2,29,267,0,2,0,32,22,3,1,12.2,32,392,1,2,1,76,24,0,0,0
10,Saints,Vikings,Vikings,7.8,37,289,0,3,0,25,14,1,0,12.2,32,392,1,2,1,76,24,0,0,1
17,Saints,Buccaneers,Saints,9.4,25,234,0,1,1,51,18,2,0,12.2,32,392,1,2,1,76,24,0,0,0
6,Saints,Texans,Texans,9.7,30,292,0,2,0,22,24,2,0,12.2,32,392,1,2,1,76,24,0,0,1
16,Saints,Rams,Rams,7.3,28,204,0,1,0,29,24,3,0,12.2,32,392,1,2,1,76,24,0,0,1
5,Saints,Patriots,Saints,6.3,33,208,0,2,0,25,26,5,0,12.2,32,392,1,2,1,76,24,0,0,0
2,Saints,Panthers,Saints,8.7,37,322,1,4,1,79,20,2,0,12.2,32,392,1,2,1,76,24,0,0,0
3,Saints,Packers,Packers,7.3,26,189,0,3,0,35,15,6,0,12.2,32,392,1,2,1,76,24,0,0,1
14,Buccaneers,Falcons,Buccaneers,7.2,33,239,0,1,0,23,18,2,0,9.4,25,234,0,1,1,51,18,2,0,0
12,Buccaneers,Colts,Colts,9.2,29,267,0,2,0,32,22,3,1,9.4,25,234,0,1,1,51,18,2,0,1
