Week,Away Team,Home Team,Winning Team,FGM_home,Att_home,FG %_home,1-19 > A-M_home,20-29 > A-M_home,30-39 > A-M_home,40-49 > A-M_home,50-59 > A-M_home,60+ > A-M_home,Lng_home,FG Blk_home,FGM_away,Att_away,FG %_away,1-19 > A-M_away,20-29 > A-M_away,30-39 > A-M_away,40-49 > A-M_away,50-59 > A-M_away,60+ > A-M_away,Lng_away,FG Blk_away,Home_Win
17,Jets,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,36,39,92.3,0,8,11,14,6,0,55,1,1
5,Jets,Broncos,Jets,30,34,88.2,0,11,13,5,5,0,52,1,36,39,92.3,0,8,11,14,6,0,55,1,0
8,Jets,Giants,Jets,22,31,71.0,0,4,9,11,7,0,57,1,36,39,92.3,0,8,11,14,6,0,55,1,0
11,Jets,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,36,39,92.3,0,8,11,14,6,0,55,1,1
2,Jets,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,36,39,92.3,0,8,11,14,6,0,55,1,1
18,Jets,Patriots,Jets,16,25,64.0,0,4,7,10,4,0,56,0,36,39,92.3,0,8,11,14,6,0,55,1,0
15,Jets,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,36,39,92.3,0,8,11,14,6,0,55,1,1
10,Jets,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,36,39,92.3,0,8,11,14,6,0,55,1,1
4,Rams,Colts,Rams,33,41,80.5,0,9,10,9,12,1,57,1,32,43,74.4,0,11,7,15,10,0,54,1,0
14,Rams,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,32,43,74.4,0,11,7,15,10,0,54,1,1
1,Rams,Seahawks,Rams,35,42,83.3,0,8,12,14,8,0,55,0,32,43,74.4,0,11,7,15,10,0,54,1,0
17,Rams,Giants,Rams,22,31,71.0,0,4,9,11,7,0,57,1,32,43,74.4,0,11,7,15,10,0,54,1,0
3,Rams,Bengals,Bengals,26,31,83.9,0,5,6,8,12,0,56,0,32,43,74.4,0,11,7,15,10,0,54,1,1
12,Rams,Cardinals,Rams,28,33,84.8,0,6,8,7,11,1,62,0,32,43,74.4,0,11,7,15,10,0,54,1,0
8,Rams,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,32,43,74.4,0,11,7,15,10,0,54,1,1
18,Rams,49ers,Rams,21,25,84.0,0,7,9,6,3,0,57,0,32,43,74.4,0,11,7,15,10,0,54,1,0
9,Rams,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,32,43,74.4,0,11,7,15,10,0,54,1,1
7,Browns,Colts,Browns,33,41,80.5,0,9,10,9,12,1,57,1,34,37,91.9,0,8,8,13,8,0,58,0,0
2,Browns,Steelers,Steelers,29,31,93.6,0,9,7,8,6,1,57,0,34,37,91.9,0,8,8,13,8,0,58,0,1
10,Browns,Ravens,Browns,32,37,86.5,0,10,10,12,4,1,50,1,34,37,91.9,0,8,8,13,8,0,58,0,0
12,Browns,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,34,37,91.9,0,8,8,13,8,0,58,0,1
8,Browns,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,34,37,91.9,0,8,8,13,8,0,58,0,1
18,Browns,Bengals,Bengals,26,31,83.9,0,5,6,8,12,0,56,0,34,37,91.9,0,8,8,13,8,0,58,0,1
16,Browns,Texans,Browns,34,38,89.5,0,13,13,4,8,0,54,0,34,37,91.9,0,8,8,13,8,0,58,0,0
13,Browns,Rams,Rams,32,43,74.4,0,11,7,15,10,0,54,1,34,37,91.9,0,8,8,13,8,0,58,0,1
5,Chiefs,Vikings,Chiefs,24,30,80.0,1,7,9,6,7,0,54,1,33,35,94.3,0,8,15,7,4,1,60,0,0
8,Chiefs,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,33,35,94.3,0,8,15,7,4,1,60,0,1
18,Chiefs,Chargers,Chiefs,31,33,93.9,0,7,8,9,9,0,55,1,33,35,94.3,0,8,15,7,4,1,60,0,0
4,Chiefs,Jets,Chiefs,36,39,92.3,0,8,11,14,6,0,55,1,33,35,94.3,0,8,15,7,4,1,60,0,0
2,Chiefs,Jaguars,Chiefs,30,37,81.1,0,4,10,13,10,0,56,1,33,35,94.3,0,8,15,7,4,1,60,0,0
15,Chiefs,Patriots,Patriots,16,25,64.0,0,4,7,10,4,0,56,0,33,35,94.3,0,8,15,7,4,1,60,0,0
13,Chiefs,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,33,35,94.3,0,8,15,7,4,1,60,0,1
12,Chiefs,Raiders,Chiefs,26,30,86.7,0,10,7,10,3,0,54,1,33,35,94.3,0,8,15,7,4,1,60,0,0
15,Giants,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,22,31,71.0,0,4,9,11,7,0,57,1,1
11,Giants,Commanders,Giants,19,24,79.2,0,3,7,9,4,1,61,1,22,31,71.0,0,4,9,11,7,0,57,1,0
16,Giants,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,22,31,71.0,0,4,9,11,7,0,57,1,1
6,Giants,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,22,31,71.0,0,4,9,11,7,0,57,1,1
2,Giants,Cardinals,Giants,28,33,84.8,0,6,8,7,11,1,62,0,22,31,71.0,0,4,9,11,7,0,57,1,0
10,Giants,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,22,31,71.0,0,4,9,11,7,0,57,1,1
3,Giants,49ers,49ers,21,25,84.0,0,7,9,6,3,0,57,0,22,31,71.0,0,4,9,11,7,0,57,1,1
5,Giants,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,22,31,71.0,0,4,9,11,7,0,57,1,1
9,Giants,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,22,31,71.0,0,4,9,11,7,0,57,1,1
18,Falcons,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,32,37,86.5,0,10,10,11,6,0,54,0,1
17,Falcons,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,32,37,86.5,0,10,10,11,6,0,54,0,1
3,Falcons,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,32,37,86.5,0,10,10,11,6,0,54,0,1
8,Falcons,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,32,37,86.5,0,10,10,11,6,0,54,0,1
7,Falcons,Buccaneers,Falcons,29,31,93.6,0,8,12,3,8,0,57,2,32,37,86.5,0,10,10,11,6,0,54,0,0
4,Falcons,Jaguars,Jaguars,30,37,81.1,0,4,10,13,10,0,56,1,32,37,86.5,0,10,10,11,6,0,54,0,1
10,Falcons,Cardinals,Cardinals,28,33,84.8,0,6,8,7,11,1,62,0,32,37,86.5,0,10,10,11,6,0,54,0,1
15,Falcons,Panthers,Panthers,25,30,83.3,0,6,7,9,8,0,56,0,32,37,86.5,0,10,10,11,6,0,54,0,1
14,Patriots,Steelers,Patriots,29,31,93.6,0,9,7,8,6,1,57,0,16,25,64.0,0,4,7,10,4,0,56,0,0
16,Patriots,Broncos,Patriots,30,34,88.2,0,11,13,5,5,0,52,1,16,25,64.0,0,4,7,10,4,0,56,0,0
1,Patriots,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,16,25,64.0,0,4,7,10,4,0,56,0,1
12,Patriots,Giants,Giants,22,31,71.0,0,4,9,11,7,0,57,1,16,25,64.0,0,4,7,10,4,0,56,0,1
3,Patriots,Jets,Patriots,36,39,92.3,0,8,11,14,6,0,55,1,16,25,64.0,0,4,7,10,4,0,56,0,0
17,Patriots,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,16,25,64.0,0,4,7,10,4,0,56,0,1
4,Patriots,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,16,25,64.0,0,4,7,10,4,0,56,0,1
8,Patriots,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,16,25,64.0,0,4,7,10,4,0,56,0,1
6,Patriots,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,16,25,64.0,0,4,7,10,4,0,56,0,1
18,Cowboys,Commanders,Cowboys,19,24,79.2,0,3,7,9,4,1,61,1,36,38,94.7,0,9,15,4,9,1,60,1,0
9,Cowboys,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,36,38,94.7,0,9,15,4,9,1,60,1,1
6,Cowboys,Chargers,Cowboys,31,33,93.9,0,7,8,9,9,0,55,1,36,38,94.7,0,9,15,4,9,1,60,1,0
1,Cowboys,Giants,Cowboys,22,31,71.0,0,4,9,11,7,0,57,1,36,38,94.7,0,9,15,4,9,1,60,1,0
15,Cowboys,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,36,38,94.7,0,9,15,4,9,1,60,1,1
3,Cowboys,Cardinals,Cardinals,28,33,84.8,0,6,8,7,11,1,62,0,36,38,94.7,0,9,15,4,9,1,60,1,1
11,Cowboys,Panthers,Cowboys,25,30,83.3,0,6,7,9,8,0,56,0,36,38,94.7,0,9,15,4,9,1,60,1,0
5,Cowboys,49ers,49ers,21,25,84.0,0,7,9,6,3,0,57,0,36,38,94.7,0,9,15,4,9,1,60,1,1
16,Cowboys,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,36,38,94.7,0,9,15,4,9,1,60,1,1
9,Seahawks,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,35,42,83.3,0,8,12,14,8,0,55,0,1
4,Seahawks,Giants,Seahawks,22,31,71.0,0,4,9,11,7,0,57,1,35,42,83.3,0,8,12,14,8,0,55,0,0
6,Seahawks,Bengals,Bengals,26,31,83.9,0,5,6,8,12,0,56,0,35,42,83.3,0,8,12,14,8,0,55,0,1
2,Seahawks,Lions,Seahawks,19,21,90.5,0,3,13,3,2,0,52,0,35,42,83.3,0,8,12,14,8,0,55,0,0
16,Seahawks,Titans,Seahawks,29,30,96.7,0,9,9,6,6,0,53,0,35,42,83.3,0,8,12,14,8,0,55,0,0
11,Seahawks,Rams,Rams,32,43,74.4,0,11,7,15,10,0,54,1,35,42,83.3,0,8,12,14,8,0,55,0,1
18,Seahawks,Cardinals,Seahawks,28,33,84.8,0,6,8,7,11,1,62,0,35,42,83.3,0,8,12,14,8,0,55,0,0
13,Seahawks,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,35,42,83.3,0,8,12,14,8,0,55,0,1
14,Seahawks,49ers,49ers,21,25,84.0,0,7,9,6,3,0,57,0,35,42,83.3,0,8,12,14,8,0,55,0,1
