Week,Away Team,Home Team,Winning Team,FGM_home,Att_home,FG %_home,1-19 > A-M_home,20-29 > A-M_home,30-39 > A-M_home,40-49 > A-M_home,50-59 > A-M_home,60+ > A-M_home,Lng_home,FG Blk_home,FGM_away,Att_away,FG %_away,1-19 > A-M_away,20-29 > A-M_away,30-39 > A-M_away,40-49 > A-M_away,50-59 > A-M_away,60+ > A-M_away,Lng_away,FG Blk_away,Home_Win
15,Eagles,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,30,32,93.8,0,9,8,7,7,1,61,0,1
18,Eagles,Giants,Giants,22,31,71.0,0,4,9,11,7,0,57,1,30,32,93.8,0,9,8,7,7,1,61,0,1
6,Eagles,Jets,Jets,36,39,92.3,0,8,11,14,6,0,55,1,30,32,93.8,0,9,8,7,7,1,61,0,1
3,Eagles,Buccaneers,Eagles,29,31,93.6,0,8,12,3,8,0,57,2,30,32,93.8,0,9,8,7,7,1,61,0,0
5,Eagles,Rams,Eagles,32,43,74.4,0,11,7,15,10,0,54,1,30,32,93.8,0,9,8,7,7,1,61,0,0
14,Eagles,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,30,32,93.8,0,9,8,7,7,1,61,0,1
14,Bills,Chiefs,Bills,33,35,94.3,0,8,15,7,4,1,60,0,24,29,82.8,0,4,13,6,6,0,54,1,0
3,Bills,Commanders,Bills,19,24,79.2,0,3,7,9,4,1,61,1,24,29,82.8,0,4,13,6,6,0,54,1,0
12,Bills,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,24,29,82.8,0,4,13,6,6,0,54,1,1
16,Bills,Chargers,Bills,31,33,93.9,0,7,8,9,9,0,55,1,24,29,82.8,0,4,13,6,6,0,54,1,0
1,Bills,Jets,Jets,36,39,92.3,0,8,11,14,6,0,55,1,24,29,82.8,0,4,13,6,6,0,54,1,1
9,Bills,Bengals,Bengals,26,31,83.9,0,5,6,8,12,0,56,0,24,29,82.8,0,4,13,6,6,0,54,1,1
7,Bills,Patriots,Patriots,16,25,64.0,0,4,7,10,4,0,56,0,24,29,82.8,0,4,13,6,6,0,54,1,1
18,Bills,Dolphins,Bills,24,28,85.7,0,6,7,8,7,0,57,2,24,29,82.8,0,4,13,6,6,0,54,1,0
16,Raiders,Chiefs,Raiders,33,35,94.3,0,8,15,7,4,1,60,0,26,30,86.7,0,10,7,10,3,0,54,1,0
17,Raiders,Colts,Colts,33,41,80.5,0,9,10,9,12,1,57,1,26,30,86.7,0,10,7,10,3,0,54,1,1
7,Raiders,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,26,30,86.7,0,10,7,10,3,0,54,1,1
1,Raiders,Broncos,Raiders,30,34,88.2,0,11,13,5,5,0,52,1,26,30,86.7,0,10,7,10,3,0,54,1,0
4,Raiders,Chargers,Chargers,31,33,93.9,0,7,8,9,9,0,55,1,26,30,86.7,0,10,7,10,3,0,54,1,1
2,Raiders,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,26,30,86.7,0,10,7,10,3,0,54,1,1
8,Raiders,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,26,30,86.7,0,10,7,10,3,0,54,1,1
11,Raiders,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,26,30,86.7,0,10,7,10,3,0,54,1,1
17,Bengals,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,26,31,83.9,0,5,6,8,12,0,56,0,1
1,Bengals,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,26,31,83.9,0,5,6,8,12,0,56,0,1
16,Bengals,Steelers,Steelers,29,31,93.6,0,9,7,8,6,1,57,0,26,31,83.9,0,5,6,8,12,0,56,0,1
11,Bengals,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,26,31,83.9,0,5,6,8,12,0,56,0,1
4,Bengals,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,26,31,83.9,0,5,6,8,12,0,56,0,1
13,Bengals,Jaguars,Bengals,30,37,81.1,0,4,10,13,10,0,56,1,26,31,83.9,0,5,6,8,12,0,56,0,0
5,Bengals,Cardinals,Bengals,28,33,84.8,0,6,8,7,11,1,62,0,26,31,83.9,0,5,6,8,12,0,56,0,0
8,Bengals,49ers,Bengals,21,25,84.0,0,7,9,6,3,0,57,0,26,31,83.9,0,5,6,8,12,0,56,0,0
1,Panthers,Falcons,Falcons,32,37,86.5,0,10,10,11,6,0,54,0,25,30,83.3,0,6,7,9,8,0,56,0,1
14,Panthers,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,25,30,83.3,0,6,7,9,8,0,56,0,1
10,Panthers,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,25,30,83.3,0,6,7,9,8,0,56,0,1
3,Panthers,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,25,30,83.3,0,6,7,9,8,0,56,0,1
5,Panthers,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,25,30,83.3,0,6,7,9,8,0,56,0,1
12,Panthers,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,25,30,83.3,0,6,7,9,8,0,56,0,1
13,Panthers,Buccaneers,Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,25,30,83.3,0,6,7,9,8,0,56,0,1
17,Panthers,Jaguars,Jaguars,30,37,81.1,0,4,10,13,10,0,56,1,25,30,83.3,0,6,7,9,8,0,56,0,1
6,Panthers,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,25,30,83.3,0,6,7,9,8,0,56,0,1
2,Packers,Falcons,Falcons,32,37,86.5,0,10,10,11,6,0,54,0,27,33,81.8,0,6,14,8,4,1,53,0,1
17,Packers,Vikings,Packers,24,30,80.0,1,7,9,6,7,0,54,1,27,33,81.8,0,6,14,8,4,1,53,0,0
10,Packers,Steelers,Steelers,29,31,93.6,0,9,7,8,6,1,57,0,27,33,81.8,0,6,14,8,4,1,53,0,1
