Week,Away Team,Home Team,Winning Team,specialteams_fe_FGM_home,specialteams_fe_Att_home,specialteams_fe_FG %_home,specialteams_fe_1-19 > A-M_home,specialteams_fe_20-29 > A-M_home,specialteams_fe_30-39 > A-M_home,specialteams_fe_40-49 > A-M_home,specialteams_fe_50-59 > A-M_home,specialteams_fe_60+ > A-M_home,specialteams_fe_Lng_home,specialteams_fe_FG Blk_home,specialteams_ki_Avg_home,specialteams_ki_Ret_x_home,specialteams_ki_Yds_x_home,specialteams_ki_KRet TD_home,specialteams_ki_20_home,specialteams_ki_40_home,specialteams_ki_Lng_home,specialteams_ki_FC_home,specialteams_ki_FUM_home,specialteams_ki_FG Blk_home,specialteams_ki_XP Blk_home,specialteams_pu_Avg_x_home,specialteams_pu_Ret_x_home,specialteams_pu_Yds_x_home,specialteams_pu_PRet T_home,specialteams_pu_20_home,specialteams_pu_40_home,specialteams_pu_Lng_x_home,specialteams_pu_FC_x_home,specialteams_pu_FUM_home,specialteams_pu_P Blk_x_home,specialteams_pu_Net Avg_home,specialteams_pu_Net Yds_home,specialteams_pu_Punts_home,specialteams_pu_Avg_y_home,specialteams_pu_Lng_y_home,specialteams_pu_Yds_y_home,specialteams_pu_IN 20_home,specialteams_pu_OOB_home,specialteams_pu_Dn_home,specialteams_pu_TB_home,specialteams_pu_FC_y_home,specialteams_pu_Ret_y_home,specialteams_pu_RetY_home,specialteams_pu_TD_home,specialteams_pu_P Blk_y_home,specialteams_ki_KO_home,specialteams_ki_Yds_y_home,specialteams_ki_TB_home,specialteams_ki_TB %_home,specialteams_ki_Ret_y_home,specialteams_ki_Ret Avg_home,specialteams_ki_OSK_home,specialteams_ki_OSK Rec_home,specialteams_ki_OOB_home,specialteams_ki_TD_home,specialteams_sc_FGM_home,specialteams_sc_FG %_home,specialteams_sc_XPM_home,specialteams_sc_XP Pct_home,specialteams_sc_KRet TD_home,specialteams_sc_PRet T_home,specialteams_fe_FGM_away,specialteams_fe_Att_away,specialteams_fe_FG %_away,specialteams_fe_1-19 > A-M_away,specialteams_fe_20-29 > A-M_away,specialteams_fe_30-39 > A-M_away,specialteams_fe_40-49 > A-M_away,specialteams_fe_50-59 > A-M_away,specialteams_fe_60+ > A-M_away,specialteams_fe_Lng_away,specialteams_fe_FG Blk_away,specialteams_ki_Avg_away,specialteams_ki_Ret_x_away,specialteams_ki_Yds_x_away,specialteams_ki_KRet TD_away,specialteams_ki_20_away,specialteams_ki_40_away,specialteams_ki_Lng_away,specialteams_ki_FC_away,specialteams_ki_FUM_away,specialteams_ki_FG Blk_away,specialteams_ki_XP Blk_away,specialteams_pu_Avg_x_away,specialteams_pu_Ret_x_away,specialteams_pu_Yds_x_away,specialteams_pu_PRet T_away,specialteams_pu_20_away,specialteams_pu_40_away,specialteams_pu_Lng_x_away,specialteams_pu_FC_x_away,specialteams_pu_FUM_away,specialteams_pu_P Blk_x_away,specialteams_pu_Net Avg_away,specialteams_pu_Net Yds_away,specialteams_pu_Punts_away,specialteams_pu_Avg_y_away,specialteams_pu_Lng_y_away,specialteams_pu_Yds_y_away,specialteams_pu_IN 20_away,specialteams_pu_OOB_away,specialteams_pu_Dn_away,specialteams_pu_TB_away,specialteams_pu_FC_y_away,specialteams_pu_Ret_y_away,specialteams_pu_RetY_away,specialteams_pu_TD_away,specialteams_pu_P Blk_y_away,specialteams_ki_KO_away,specialteams_ki_Yds_y_away,specialteams_ki_TB_away,specialteams_ki_TB %_away,specialteams_ki_Ret_y_away,specialteams_ki_Ret Avg_away,specialteams_ki_OSK_away,specialteams_ki_OSK Rec_away,specialteams_ki_OOB_away,specialteams_ki_TD_away,specialteams_sc_FGM_away,specialteams_sc_FG %_away,specialteams_sc_XPM_away,specialteams_sc_XP Pct_away,specialteams_sc_KRet TD_away,specialteams_sc_PRet T_away,Home_Win
15,Bears,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,23.7,11,261,0,7,0,36,2,0,3,0,8.4,41,343,0,1,0,21,36,2,0,42.4,3819,90,49.4,73,4449,31,13,7,9,16,45,450,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,34,91.9,30,90.9,0,0,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,1
12,Bears,Vikings,Bears,24,30,80.0,1,7,9,6,7,0,54,1,25.1,19,477,0,14,1,47,1,0,0,1,7.8,37,289,0,3,0,25,14,1,0,41.2,2470,60,48.1,68,2887,16,7,2,7,16,28,277,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,24,80.0,36,94.7,0,0,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,0
9,Bears,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,21.2,22,466,0,11,0,28,1,1,0,0,12.2,32,392,1,2,1,76,24,0,0,39.8,2981,75,43.0,62,3224,31,10,8,4,24,29,163,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,30,81.1,40,100.0,0,1,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,1
5,Bears,Commanders,Bears,19,24,79.2,0,3,7,9,4,1,61,1,25.0,24,601,0,18,1,40,0,1,1,0,7.9,35,278,0,3,1,61,14,2,0,41.8,3050,73,46.0,66,3361,30,1,11,2,25,34,271,0,2,72,4520,64,88.9,5,27.8,3,0,1,0,19,79.2,32,91.4,0,0,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,0
8,Bears,Chargers,Chargers,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,1
11,Bears,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,22.2,19,421,0,11,0,31,2,1,0,1,11.4,29,331,0,3,1,42,23,1,0,41.7,2378,57,46.4,70,2646,26,3,8,5,20,21,168,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,19,90.5,48,92.3,0,0,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,0
2,Bears,Buccaneers,Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,20.4,16,327,0,7,0,32,5,0,0,0,9.4,25,234,0,1,1,51,18,2,0,41.8,3219,77,50.0,74,3854,26,11,9,9,9,38,455,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,29,93.6,33,100.0,0,0,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,1
18,Bears,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,25.3,31,783,0,26,2,51,0,0,2,0,7.3,26,189,0,3,0,35,15,6,0,39.7,2264,57,46.2,68,2634,18,2,5,5,22,23,270,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,27,81.8,34,87.2,0,0,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,1
6,Broncos,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,20.1,12,241,0,8,0,31,6,0,1,0,9.3,41,380,0,7,1,50,17,5,0,41.8,2469,59,47.0,68,2776,20,4,10,5,20,20,207,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,33,94.3,38,100.0,0,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,1
4,Broncos,Bears,Broncos,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,0
14,Broncos,Chargers,Broncos,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,0
10,Broncos,Bills,Broncos,24,29,82.8,0,4,13,6,6,0,54,1,20.5,17,349,0,10,1,41,4,0,1,0,11.6,31,360,1,4,1,96,25,3,0,39.9,2037,51,45.8,70,2334,24,5,7,3,17,19,237,1,0,95,5952,53,55.8,29,22.4,1,0,1,1,24,82.8,49,98.0,0,1,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,0
15,Broncos,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,22.2,19,421,0,11,0,31,2,1,0,1,11.4,29,331,0,3,1,42,23,1,0,41.7,2378,57,46.4,70,2646,26,3,8,5,20,21,168,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,19,90.5,48,92.3,0,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,1
13,Broncos,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,26.6,23,613,2,15,2,98,1,0,1,0,9.7,30,292,0,2,0,22,24,2,0,43.0,3443,80,46.7,74,3735,32,6,10,5,30,29,192,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,34,89.5,31,93.9,2,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,1
3,Broncos,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,24.5,18,441,0,16,0,33,1,0,0,0,9.8,27,265,0,0,0,19,26,1,0,40.7,2157,53,45.7,66,2424,20,6,8,3,19,17,207,1,0,98,6327,83,84.7,15,30.5,0,0,0,1,24,85.7,58,98.3,0,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,1
18,Broncos,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,23.8,11,262,0,9,1,40,1,0,0,1,10.0,25,249,0,1,0,32,18,2,0,45.1,3380,75,50.4,83,3783,34,15,3,6,20,31,283,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,26,86.7,32,100.0,0,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,1
7,Chargers,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,20.1,12,241,0,8,0,31,6,0,1,0,9.3,41,380,0,7,1,50,17,5,0,41.8,2469,59,47.0,68,2776,20,4,10,5,20,20,207,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,33,94.3,38,100.0,0,0,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,1
3,Chargers,Vikings,Chargers,24,30,80.0,1,7,9,6,7,0,54,1,25.1,19,477,0,14,1,47,1,0,0,1,7.8,37,289,0,3,0,25,14,1,0,41.2,2470,60,48.1,68,2887,16,7,2,7,16,28,277,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,24,80.0,36,94.7,0,0,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,0
17,Chargers,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,1
9,Chargers,Jets,Chargers,36,39,92.3,0,8,11,14,6,0,55,1,22.6,24,542,0,16,0,34,1,2,0,0,9.7,33,319,1,2,1,65,31,3,1,41.8,4136,99,48.8,62,4831,36,8,7,8,28,48,535,1,0,73,4651,62,84.9,8,15.4,1,0,0,0,36,92.3,16,94.1,0,1,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,0
2,Chargers,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,20.7,18,372,0,11,0,33,14,0,1,1,7.9,42,330,0,1,0,21,14,3,0,43.5,3440,79,50.7,74,4008,36,10,9,12,19,29,328,0,1,72,4508,34,47.2,35,23.3,2,0,0,0,29,96.7,28,93.3,0,0,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,1
13,Chargers,Patriots,Chargers,16,25,64.0,0,4,7,10,4,0,56,0,26.2,18,471,1,13,3,98,1,0,1,0,6.3,33,208,0,2,0,25,26,5,0,40.8,3999,98,46.9,79,4598,38,14,8,8,24,44,439,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,16,64.0,24,96.0,1,0,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1,0
