Week,Away Team,Home Team,Winning Team,FGM_home,FG %_home,XPM_home,XP Pct_home,KRet TD_home,PRet T_home,FGM_away,FG %_away,XPM_away,XP Pct_away,KRet TD_away,PRet T_away,Home_Win
1,Raiders,Broncos,Raiders,30,88.2,29,93.6,1,0,26,86.7,32,100.0,0,0,0
4,Raiders,Chargers,Chargers,31,93.9,35,100.0,0,1,26,86.7,32,100.0,0,0,1
2,Raiders,Bills,Bills,24,82.8,49,98.0,0,1,26,86.7,32,100.0,0,0,1
8,Raiders,Lions,Lions,19,90.5,48,92.3,0,0,26,86.7,32,100.0,0,0,1
11,Raiders,Dolphins,Dolphins,24,85.7,58,98.3,0,0,26,86.7,32,100.0,0,0,1
17,Bengals,Chiefs,Chiefs,33,94.3,38,100.0,0,0,26,83.9,40,100.0,0,1,1
1,Bengals,Browns,Browns,34,91.9,30,90.9,0,0,26,83.9,40,100.0,0,1,1
16,Bengals,Steelers,Steelers,29,93.6,27,96.4,0,0,26,83.9,40,100.0,0,1,1
11,Bengals,Ravens,Ravens,32,86.5,51,98.1,0,1,26,83.9,40,100.0,0,1,1
4,Bengals,Titans,Titans,29,96.7,28,93.3,0,0,26,83.9,40,100.0,0,1,1
13,Bengals,Jaguars,Bengals,30,81.1,35,100.0,0,0,26,83.9,40,100.0,0,1,0
5,Bengals,Cardinals,Bengals,28,84.8,22,95.6,0,0,26,83.9,40,100.0,0,1,0
8,Bengals,49ers,Bengals,21,84.0,60,98.4,0,0,26,83.9,40,100.0,0,1,0
1,Panthers,Falcons,Falcons,32,86.5,27,96.4,0,0,25,83.3,17,85.0,0,1,1
14,Panthers,Saints,Saints,30,81.1,40,100.0,0,1,25,83.3,17,85.0,0,1,1
10,Panthers,Bears,Bears,35,92.1,31,93.9,0,0,25,83.3,17,85.0,0,1,1
3,Panthers,Seahawks,Seahawks,35,83.3,33,100.0,0,0,25,83.3,17,85.0,0,1,1
5,Panthers,Lions,Lions,19,90.5,48,92.3,0,0,25,83.3,17,85.0,0,1,1
12,Panthers,Titans,Titans,29,96.7,28,93.3,0,0,25,83.3,17,85.0,0,1,1
13,Panthers,Buccaneers,Buccaneers,29,93.6,33,100.0,0,0,25,83.3,17,85.0,0,1,1
17,Panthers,Jaguars,Jaguars,30,81.1,35,100.0,0,0,25,83.3,17,85.0,0,1,1
6,Panthers,Dolphins,Dolphins,24,85.7,58,98.3,0,0,25,83.3,17,85.0,0,1,1
2,Packers,Falcons,Falcons,32,86.5,27,96.4,0,0,27,81.8,34,87.2,0,0,1
17,Packers,Vikings,Packers,24,80.0,36,94.7,0,0,27,81.8,34,87.2,0,0,0
10,Packers,Steelers,Steelers,29,93.6,27,96.4,0,0,27,81.8,34,87.2,0,0,1
1,Packers,Bears,Packers,35,92.1,31,93.9,0,0,27,81.8,34,87.2,0,0,0
7,Packers,Broncos,Broncos,30,88.2,29,93.6,1,0,27,81.8,34,87.2,0,0,1
14,Packers,Giants,Giants,22,71.0,24,96.0,0,1,27,81.8,34,87.2,0,0,1
12,Packers,Lions,Packers,19,90.5,48,92.3,0,0,27,81.8,34,87.2,0,0,0
16,Packers,Panthers,Packers,25,83.3,17,85.0,0,1,27,81.8,34,87.2,0,0,0
5,Packers,Raiders,Raiders,26,86.7,32,100.0,0,0,27,81.8,34,87.2,0,0,1
5,Texans,Falcons,Falcons,32,86.5,27,96.4,0,0,34,89.5,31,93.9,2,0,1
18,Texans,Colts,Texans,33,80.5,35,97.2,0,0,34,89.5,31,93.9,2,0,0
1,Texans,Ravens,Ravens,32,86.5,51,98.1,0,1,34,89.5,31,93.9,2,0,1
14,Texans,Jets,Jets,36,92.3,16,94.1,0,1,34,89.5,31,93.9,2,0,1
10,Texans,Bengals,Texans,26,83.9,40,100.0,0,1,34,89.5,31,93.9,2,0,0
15,Texans,Titans,Texans,29,96.7,28,93.3,0,0,34,89.5,31,93.9,2,0,0
3,Texans,Jaguars,Texans,30,81.1,35,100.0,0,0,34,89.5,31,93.9,2,0,0
8,Texans,Panthers,Panthers,25,83.3,17,85.0,0,1,34,89.5,31,93.9,2,0,1
6,Commanders,Falcons,Commanders,32,86.5,27,96.4,0,0,19,79.2,32,91.4,0,0,0
2,Commanders,Broncos,Commanders,30,88.2,29,93.6,1,0,19,79.2,32,91.4,0,0,0
4,Commanders,Eagles,Eagles,30,93.8,45,97.8,0,0,19,79.2,32,91.4,0,0,1
10,Commanders,Seahawks,Seahawks,35,83.3,33,100.0,0,0,19,79.2,32,91.4,0,0,1
7,Commanders,Giants,Giants,22,71.0,24,96.0,0,1,19,79.2,32,91.4,0,0,1
16,Commanders,Jets,Jets,36,92.3,16,94.1,0,1,19,79.2,32,91.4,0,0,1
15,Commanders,Rams,Rams,32,74.4,32,86.5,0,0,19,79.2,32,91.4,0,0,1
12,Commanders,Cowboys,Cowboys,36,94.7,49,94.2,0,0,19,79.2,32,91.4,0,0,1
9,Commanders,Patriots,Commanders,16,64.0,24,96.0,1,0,19,79.2,32,91.4,0,0,0
9,Vikings,Falcons,Vikings,32,86.5,27,96.4,0,0,24,80.0,36,94.7,0,0,0
6,Vikings,Bears,Vikings,35,92.1,31,93.9,0,0,24,80.0,36,94.7,0,0,0
11,Vikings,Broncos,Broncos,30,88.2,29,93.6,1,0,24,80.0,36,94.7,0,0,1
2,Vikings,Eagles,Eagles,30,93.8,45,97.8,0,0,24,80.0,36,94.7,0,0,1
15,Vikings,Bengals,Bengals,26,83.9,40,100.0,0,1,24,80.0,36,94.7,0,0,1
18,Vikings,Lions,Lions,19,90.5,48,92.3,0,0,24,80.0,36,94.7,0,0,1
