Week,Away Team,Home Team,Winning Team,Att_home,Rush Yds_home,YPC_home,TD_home,20_home,40_home,Lng_home,Rush 1st_home,Rush 1st%_home,Rush FUM_home,Att_away,Rush Yds_away,YPC_away,TD_away,20_away,40_away,Lng_away,Rush 1st_away,Rush 1st%_away,Rush FUM_away,Home_Win
8,Jaguars,Steelers,Jaguars,487,2010,4.1,16,14,1,74,115,23.6,9,453,1646,3.6,17,9,1,62,98,21.6,5,0
5,Jaguars,Bills,Jaguars,512,2212,4.3,22,9,1,42,158,30.9,9,453,1646,3.6,17,9,1,62,98,21.6,5,0
18,Jaguars,Titans,Titans,444,1846,4.2,16,10,2,69,103,23.2,6,453,1646,3.6,17,9,1,62,98,21.6,5,1
16,Jaguars,Buccaneers,Buccaneers,439,1509,3.4,8,5,0,38,79,18.0,4,453,1646,3.6,17,9,1,62,98,21.6,5,1
12,Jaguars,Texans,Jaguars,444,1647,3.7,10,4,0,24,84,18.9,5,453,1646,3.6,17,9,1,62,98,21.6,5,0
17,Jets,Browns,Browns,518,2017,3.9,15,9,3,69,121,23.4,9,388,1647,4.2,7,9,4,83,77,19.8,11,1
5,Jets,Broncos,Jets,451,1810,4.0,8,9,0,38,116,25.7,5,388,1647,4.2,7,9,4,83,77,19.8,11,0
8,Jets,Giants,Jets,454,1874,4.1,10,12,0,36,97,21.4,8,388,1647,4.2,7,9,4,83,77,19.8,11,0
11,Jets,Bills,Bills,512,2212,4.3,22,9,1,42,158,30.9,9,388,1647,4.2,7,9,4,83,77,19.8,11,1
2,Jets,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,388,1647,4.2,7,9,4,83,77,19.8,11,1
18,Jets,Patriots,Jets,415,1627,3.9,9,3,1,64,93,22.4,3,388,1647,4.2,7,9,4,83,77,19.8,11,0
15,Jets,Dolphins,Dolphins,456,2308,5.1,27,17,8,76,113,24.8,13,388,1647,4.2,7,9,4,83,77,19.8,11,1
10,Jets,Raiders,Raiders,413,1542,3.7,11,7,3,63,83,20.1,5,388,1647,4.2,7,9,4,83,77,19.8,11,1
4,Rams,Colts,Rams,479,2059,4.3,19,14,4,56,113,23.6,4,477,2045,4.3,18,11,1,56,110,23.1,2,0
14,Rams,Ravens,Ravens,541,2661,4.9,26,21,4,60,144,26.6,7,477,2045,4.3,18,11,1,56,110,23.1,2,1
1,Rams,Seahawks,Rams,382,1580,4.1,11,13,1,45,93,24.4,2,477,2045,4.3,18,11,1,56,110,23.1,2,0
17,Rams,Giants,Rams,454,1874,4.1,10,12,0,36,97,21.4,8,477,2045,4.3,18,11,1,56,110,23.1,2,0
