Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,KRet TD_home,20_home,40_home,Lng_home,FC_home,FUM_home,FG Blk_home,XP Blk_home,Avg_away,Ret_away,Yds_away,KRet TD_away,20_away,40_away,Lng_away,FC_away,FUM_away,FG Blk_away,XP Blk_away,Home_Win
9,Buccaneers,Texans,Texans,26.6,23,613,2,15,2,98,1,0,1,0,20.4,16,327,0,7,0,32,5,0,0,0,1
18,Buccaneers,Panthers,Buccaneers,26.5,24,637,0,19,2,52,0,1,0,0,20.4,16,327,0,7,0,32,5,0,0,0,0
11,Buccaneers,49ers,49ers,21.8,20,437,0,11,0,34,0,0,0,0,20.4,16,327,0,7,0,32,5,0,0,0,1
15,Buccaneers,Packers,Buccaneers,25.3,31,783,0,26,2,51,0,0,2,0,20.4,16,327,0,7,0,32,5,0,0,0,0
16,Colts,Falcons,Falcons,16.9,14,236,0,5,0,29,0,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,1
3,Colts,Ravens,Colts,24.5,13,319,0,8,1,78,4,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,0
14,Colts,Bengals,Bengals,22.8,17,387,0,11,2,46,0,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,1
13,Colts,Titans,Colts,20.7,18,372,0,11,0,33,14,0,1,1,22.2,9,200,0,3,1,42,8,1,0,0,0
6,Colts,Jaguars,Jaguars,23.7,29,688,0,21,1,53,0,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,1
2,Colts,Texans,Colts,26.6,23,613,2,15,2,98,1,0,1,0,22.2,9,200,0,3,1,42,8,1,0,0,0
10,Colts,Patriots,Colts,26.2,18,471,1,13,3,98,1,0,1,0,22.2,9,200,0,3,1,42,8,1,0,0,0
9,Colts,Panthers,Colts,26.5,24,637,0,19,2,52,0,1,0,0,22.2,9,200,0,3,1,42,8,1,0,0,0
3,Titans,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,20.7,18,372,0,11,0,33,14,0,1,1,1
5,Titans,Colts,Colts,22.2,9,200,0,3,1,42,8,1,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
1,Titans,Saints,Saints,21.2,22,466,0,11,0,28,1,1,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
