Week,Away Team,Home Team,Winning Team,KO_home,Yds_home,TB_home,TB %_home,Ret_home,Ret Avg_home,OSK_home,OSK Rec_home,OOB_home,TD_home,KO_away,Yds_away,TB_away,TB %_away,Ret_away,Ret Avg_away,OSK_away,OSK Rec_away,OOB_away,TD_away,Home_Win
18,Jets,Patriots,Jets,61,3830,39,63.9,21,20.6,1,0,0,0,73,4651,62,84.9,8,15.4,1,0,0,0,0
15,Jets,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,73,4651,62,84.9,8,15.4,1,0,0,0,1
10,Jets,Raiders,Raiders,78,4977,48,61.5,28,22.8,1,0,0,0,73,4651,62,84.9,8,15.4,1,0,0,0,1
4,Rams,Colts,Rams,93,5960,72,77.4,15,26.1,0,0,0,0,92,5865,80,87.0,11,26.9,1,0,0,0,0
14,Rams,Ravens,Ravens,104,6638,80,76.9,20,23.0,1,0,1,0,92,5865,80,87.0,11,26.9,1,0,0,0,1
1,Rams,Seahawks,Rams,86,5428,55,64.0,22,22.2,1,0,1,0,92,5865,80,87.0,11,26.9,1,0,0,0,0
17,Rams,Giants,Rams,65,4110,38,58.5,16,23.6,0,0,1,0,92,5865,80,87.0,11,26.9,1,0,0,0,0
3,Rams,Bengals,Bengals,82,5162,63,76.8,13,17.0,2,0,0,0,92,5865,80,87.0,11,26.9,1,0,0,0,1
12,Rams,Cardinals,Rams,79,4843,66,83.5,6,22.2,5,1,0,0,92,5865,80,87.0,11,26.9,1,0,0,0,0
8,Rams,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,92,5865,80,87.0,11,26.9,1,0,0,0,1
18,Rams,49ers,Rams,97,6131,58,59.8,32,23.3,0,0,2,0,92,5865,80,87.0,11,26.9,1,0,0,0,0
9,Rams,Packers,Packers,86,5466,37,43.0,40,23.8,1,0,1,0,92,5865,80,87.0,11,26.9,1,0,0,0,1
7,Browns,Colts,Browns,93,5960,72,77.4,15,26.1,0,0,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,0
2,Browns,Steelers,Steelers,76,4833,55,72.4,18,26.4,0,0,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,1
10,Browns,Ravens,Browns,104,6638,80,76.9,20,23.0,1,0,1,0,92,5804,54,58.7,30,21.2,0,0,0,1,0
12,Browns,Broncos,Broncos,82,5190,71,86.6,8,21.5,3,0,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,1
8,Browns,Seahawks,Seahawks,86,5428,55,64.0,22,22.2,1,0,1,0,92,5804,54,58.7,30,21.2,0,0,0,1,1
18,Browns,Bengals,Bengals,82,5162,63,76.8,13,17.0,2,0,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,1
16,Browns,Texans,Browns,87,5419,56,64.4,26,21.9,2,1,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,0
13,Browns,Rams,Rams,92,5865,80,87.0,11,26.9,1,0,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,1
5,Chiefs,Vikings,Chiefs,80,5131,61,76.2,17,23.8,1,0,1,0,85,5565,74,87.1,11,28.3,0,0,0,0,0
8,Chiefs,Broncos,Broncos,82,5190,71,86.6,8,21.5,3,0,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,1
