Week,Away Team,Home Team,Winning Team,3rd Att_home,3rd Md_home,4th Att_home,4th Md_home,Rec 1st_home,Rec 1st%_home,Rush 1st_home,Rush 1st%_home,Scrm Plys_home,3rd Att_away,3rd Md_away,4th Att_away,4th Md_away,Rec 1st_away,Rec 1st%_away,Rush 1st_away,Rush 1st%_away,Scrm Plys_away,Home_Win
6,Eagles,Jets,Jets,235,61,29,17,156,43.8,77,19.8,1053,225,108,26,19,197,53.4,149,29.2,1112,1
3,Eagles,Buccaneers,Eagles,236,98,18,12,188,51.6,79,18.0,1047,225,108,26,19,197,53.4,149,29.2,1112,0
5,Eagles,Rams,Eagles,226,95,21,13,206,57.1,110,23.1,1094,225,108,26,19,197,53.4,149,29.2,1112,0
14,Eagles,Cowboys,Cowboys,230,111,23,13,229,53.5,113,24.2,1122,225,108,26,19,197,53.4,149,29.2,1112,1
14,Bills,Chiefs,Bills,220,96,20,10,216,51.3,107,25.7,1080,219,109,16,9,199,51.7,158,30.9,1115,0
3,Bills,Commanders,Bills,216,77,29,16,190,46.7,99,27.6,1060,219,109,16,9,199,51.7,158,30.9,1115,0
12,Bills,Eagles,Eagles,225,108,26,19,197,53.4,149,29.2,1112,219,109,16,9,199,51.7,158,30.9,1115,1
16,Bills,Chargers,Bills,237,91,32,15,204,49.9,89,20.6,1106,219,109,16,9,199,51.7,158,30.9,1115,0
1,Bills,Jets,Jets,235,61,29,17,156,43.8,77,19.8,1053,219,109,16,9,199,51.7,158,30.9,1115,1
9,Bills,Bengals,Bengals,218,82,20,9,208,49.5,90,23.5,1048,219,109,16,9,199,51.7,158,30.9,1115,1
7,Bills,Patriots,Patriots,222,67,25,9,153,43.6,93,22.4,1020,219,109,16,9,199,51.7,158,30.9,1115,1
18,Bills,Dolphins,Bills,202,85,25,11,223,56.7,113,24.8,1053,219,109,16,9,199,51.7,158,30.9,1115,0
16,Raiders,Chiefs,Raiders,220,96,20,10,216,51.3,107,25.7,1080,216,77,23,14,182,52.3,83,20.1,1010,0
17,Raiders,Colts,Colts,232,82,32,16,178,50.1,113,23.6,1094,216,77,23,14,182,52.3,83,20.1,1010,1
7,Raiders,Bears,Bears,238,98,26,13,169,52.6,137,25.7,1097,216,77,23,14,182,52.3,83,20.1,1010,1
1,Raiders,Broncos,Raiders,220,81,20,13,154,45.7,116,25.7,1016,216,77,23,14,182,52.3,83,20.1,1010,0
4,Raiders,Chargers,Chargers,237,91,32,15,204,49.9,89,20.6,1106,216,77,23,14,182,52.3,83,20.1,1010,1
2,Raiders,Bills,Bills,219,109,16,9,199,51.7,158,30.9,1115,216,77,23,14,182,52.3,83,20.1,1010,1
8,Raiders,Lions,Lions,224,93,40,21,228,55.9,124,24.8,1137,216,77,23,14,182,52.3,83,20.1,1010,1
11,Raiders,Dolphins,Dolphins,202,85,25,11,223,56.7,113,24.8,1053,216,77,23,14,182,52.3,83,20.1,1010,1
17,Bengals,Chiefs,Chiefs,220,96,20,10,216,51.3,107,25.7,1080,218,82,20,9,208,49.5,90,23.5,1048,1
1,Bengals,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,218,82,20,9,208,49.5,90,23.5,1048,1
16,Bengals,Steelers,Steelers,232,85,19,9,153,47.4,115,23.6,1029,218,82,20,9,208,49.5,90,23.5,1048,1
11,Bengals,Ravens,Ravens,207,87,14,8,180,54.9,144,26.6,1076,218,82,20,9,208,49.5,90,23.5,1048,1
4,Bengals,Titans,Titans,212,71,20,11,158,52.0,103,23.2,1002,218,82,20,9,208,49.5,90,23.5,1048,1
13,Bengals,Jaguars,Bengals,228,87,29,13,199,48.3,98,21.6,1114,218,82,20,9,208,49.5,90,23.5,1048,0
5,Bengals,Cardinals,Bengals,225,88,34,15,173,48.7,127,27.0,1068,218,82,20,9,208,49.5,90,23.5,1048,0
8,Bengals,49ers,Bengals,179,85,13,7,207,61.6,147,29.5,1024,218,82,20,9,208,49.5,90,23.5,1048,0
1,Panthers,Falcons,Falcons,225,90,19,8,181,55.4,121,23.2,1092,249,85,48,23,150,42.9,111,24.9,1096,1
14,Panthers,Saints,Saints,235,91,19,9,199,49.0,112,23.3,1121,249,85,48,23,150,42.9,111,24.9,1096,1
10,Panthers,Bears,Bears,238,98,26,13,169,52.6,137,25.7,1097,249,85,48,23,150,42.9,111,24.9,1096,1
3,Panthers,Seahawks,Seahawks,207,75,16,6,189,50.9,93,24.4,995,249,85,48,23,150,42.9,111,24.9,1096,1
5,Panthers,Lions,Lions,224,93,40,21,228,55.9,124,24.8,1137,249,85,48,23,150,42.9,111,24.9,1096,1
12,Panthers,Titans,Titans,212,71,20,11,158,52.0,103,23.2,1002,249,85,48,23,150,42.9,111,24.9,1096,1
13,Panthers,Buccaneers,Buccaneers,236,98,18,12,188,51.6,79,18.0,1047,249,85,48,23,150,42.9,111,24.9,1096,1
17,Panthers,Jaguars,Jaguars,228,87,29,13,199,48.3,98,21.6,1114,249,85,48,23,150,42.9,111,24.9,1096,1
6,Panthers,Dolphins,Dolphins,202,85,25,11,223,56.7,113,24.8,1053,249,85,48,23,150,42.9,111,24.9,1096,1
2,Packers,Falcons,Falcons,225,90,19,8,181,55.4,121,23.2,1092,223,105,24,12,211,56.4,101,22.9,1052,1
17,Packers,Vikings,Packers,223,85,29,17,220,51.9,79,20.1,1071,223,105,24,12,211,56.4,101,22.9,1052,0
10,Packers,Steelers,Steelers,232,85,19,9,153,47.4,115,23.6,1029,223,105,24,12,211,56.4,101,22.9,1052,1
1,Packers,Bears,Packers,238,98,26,13,169,52.6,137,25.7,1097,223,105,24,12,211,56.4,101,22.9,1052,0
7,Packers,Broncos,Broncos,220,81,20,13,154,45.7,116,25.7,1016,223,105,24,12,211,56.4,101,22.9,1052,1
14,Packers,Giants,Giants,248,75,37,18,141,41.7,97,21.4,1057,223,105,24,12,211,56.4,101,22.9,1052,1
12,Packers,Lions,Packers,224,93,40,21,228,55.9,124,24.8,1137,223,105,24,12,211,56.4,101,22.9,1052,0
16,Packers,Panthers,Packers,249,85,48,23,150,42.9,111,24.9,1096,223,105,24,12,211,56.4,101,22.9,1052,0
5,Packers,Raiders,Raiders,216,77,23,14,182,52.3,83,20.1,1010,223,105,24,12,211,56.4,101,22.9,1052,1
5,Texans,Falcons,Falcons,225,90,19,8,181,55.4,121,23.2,1092,232,88,21,8,215,57.8,84,18.9,1083,1
18,Texans,Colts,Texans,232,82,32,16,178,50.1,113,23.6,1094,232,88,21,8,215,57.8,84,18.9,1083,0
1,Texans,Ravens,Ravens,207,87,14,8,180,54.9,144,26.6,1076,232,88,21,8,215,57.8,84,18.9,1083,1
14,Texans,Jets,Jets,235,61,29,17,156,43.8,77,19.8,1053,232,88,21,8,215,57.8,84,18.9,1083,1
10,Texans,Bengals,Texans,218,82,20,9,208,49.5,90,23.5,1048,232,88,21,8,215,57.8,84,18.9,1083,0
15,Texans,Titans,Texans,212,71,20,11,158,52.0,103,23.2,1002,232,88,21,8,215,57.8,84,18.9,1083,0
3,Texans,Jaguars,Texans,228,87,29,13,199,48.3,98,21.6,1114,232,88,21,8,215,57.8,84,18.9,1083,0
8,Texans,Panthers,Panthers,249,85,48,23,150,42.9,111,24.9,1096,232,88,21,8,215,57.8,84,18.9,1083,1
6,Commanders,Falcons,Commanders,225,90,19,8,181,55.4,121,23.2,1092,216,77,29,16,190,46.7,99,27.6,1060,0
2,Commanders,Broncos,Commanders,220,81,20,13,154,45.7,116,25.7,1016,216,77,29,16,190,46.7,99,27.6,1060,0
4,Commanders,Eagles,Eagles,225,108,26,19,197,53.4,149,29.2,1112,216,77,29,16,190,46.7,99,27.6,1060,1
10,Commanders,Seahawks,Seahawks,207,75,16,6,189,50.9,93,24.4,995,216,77,29,16,190,46.7,99,27.6,1060,1
7,Commanders,Giants,Giants,248,75,37,18,141,41.7,97,21.4,1057,216,77,29,16,190,46.7,99,27.6,1060,1
16,Commanders,Jets,Jets,235,61,29,17,156,43.8,77,19.8,1053,216,77,29,16,190,46.7,99,27.6,1060,1
15,Commanders,Rams,Rams,226,95,21,13,206,57.1,110,23.1,1094,216,77,29,16,190,46.7,99,27.6,1060,1
12,Commanders,Cowboys,Cowboys,230,111,23,13,229,53.5,113,24.2,1122,216,77,29,16,190,46.7,99,27.6,1060,1
9,Commanders,Patriots,Commanders,222,67,25,9,153,43.6,93,22.4,1020,216,77,29,16,190,46.7,99,27.6,1060,0
9,Vikings,Falcons,Vikings,225,90,19,8,181,55.4,121,23.2,1092,223,85,29,17,220,51.9,79,20.1,1071,0
6,Vikings,Bears,Vikings,238,98,26,13,169,52.6,137,25.7,1097,223,85,29,17,220,51.9,79,20.1,1071,0
11,Vikings,Broncos,Broncos,220,81,20,13,154,45.7,116,25.7,1016,223,85,29,17,220,51.9,79,20.1,1071,1
2,Vikings,Eagles,Eagles,225,108,26,19,197,53.4,149,29.2,1112,223,85,29,17,220,51.9,79,20.1,1071,1
15,Vikings,Bengals,Bengals,218,82,20,9,208,49.5,90,23.5,1048,223,85,29,17,220,51.9,79,20.1,1071,1
18,Vikings,Lions,Lions,224,93,40,21,228,55.9,124,24.8,1137,223,85,29,17,220,51.9,79,20.1,1071,1
4,Vikings,Panthers,Vikings,249,85,48,23,150,42.9,111,24.9,1096,223,85,29,17,220,51.9,79,20.1,1071,0
8,Vikings,Packers,Vikings,223,105,24,12,211,56.4,101,22.9,1052,223,85,29,17,220,51.9,79,20.1,1071,0
14,Vikings,Raiders,Vikings,216,77,23,14,182,52.3,83,20.1,1010,223,85,29,17,220,51.9,79,20.1,1071,0
12,Saints,Falcons,Falcons,225,90,19,8,181,55.4,121,23.2,1092,235,91,19,9,199,49.0,112,23.3,1121,1
8,Saints,Colts,Saints,232,82,32,16,178,50.1,113,23.6,1094,235,91,19,9,199,49.0,112,23.3,1121,0
10,Saints,Vikings,Vikings,223,85,29,17,220,51.9,79,20.1,1071,235,91,19,9,199,49.0,112,23.3,1121,1
17,Saints,Buccaneers,Saints,236,98,18,12,188,51.6,79,18.0,1047,235,91,19,9,199,49.0,112,23.3,1121,0
6,Saints,Texans,Texans,232,88,21,8,215,57.8,84,18.9,1083,235,91,19,9,199,49.0,112,23.3,1121,1
16,Saints,Rams,Rams,226,95,21,13,206,57.1,110,23.1,1094,235,91,19,9,199,49.0,112,23.3,1121,1
5,Saints,Patriots,Saints,222,67,25,9,153,43.6,93,22.4,1020,235,91,19,9,199,49.0,112,23.3,1121,0
2,Saints,Panthers,Saints,249,85,48,23,150,42.9,111,24.9,1096,235,91,19,9,199,49.0,112,23.3,1121,0
3,Saints,Packers,Packers,223,105,24,12,211,56.4,101,22.9,1052,235,91,19,9,199,49.0,112,23.3,1121,1
14,Buccaneers,Falcons,Buccaneers,225,90,19,8,181,55.4,121,23.2,1092,236,98,18,12,188,51.6,79,18.0,1047,0
12,Buccaneers,Colts,Colts,232,82,32,16,178,50.1,113,23.6,1094,236,98,18,12,188,51.6,79,18.0,1047,1
1,Buccaneers,Vikings,Buccaneers,223,85,29,17,220,51.9,79,20.1,1071,236,98,18,12,188,51.6,79,18.0,1047,0
4,Buccaneers,Saints,Buccaneers,235,91,19,9,199,49.0,112,23.3,1121,236,98,18,12,188,51.6,79,18.0,1047,0
8,Buccaneers,Bills,Bills,219,109,16,9,199,51.7,158,30.9,1115,236,98,18,12,188,51.6,79,18.0,1047,1
9,Buccaneers,Texans,Texans,232,88,21,8,215,57.8,84,18.9,1083,236,98,18,12,188,51.6,79,18.0,1047,1
18,Buccaneers,Panthers,Buccaneers,249,85,48,23,150,42.9,111,24.9,1096,236,98,18,12,188,51.6,79,18.0,1047,0
11,Buccaneers,49ers,49ers,179,85,13,7,207,61.6,147,29.5,1024,236,98,18,12,188,51.6,79,18.0,1047,1
15,Buccaneers,Packers,Buccaneers,223,105,24,12,211,56.4,101,22.9,1052,236,98,18,12,188,51.6,79,18.0,1047,0
16,Colts,Falcons,Falcons,225,90,19,8,181,55.4,121,23.2,1092,232,82,32,16,178,50.1,113,23.6,1094,1
3,Colts,Ravens,Colts,207,87,14,8,180,54.9,144,26.6,1076,232,82,32,16,178,50.1,113,23.6,1094,0
14,Colts,Bengals,Bengals,218,82,20,9,208,49.5,90,23.5,1048,232,82,32,16,178,50.1,113,23.6,1094,1
13,Colts,Titans,Colts,212,71,20,11,158,52.0,103,23.2,1002,232,82,32,16,178,50.1,113,23.6,1094,0
6,Colts,Jaguars,Jaguars,228,87,29,13,199,48.3,98,21.6,1114,232,82,32,16,178,50.1,113,23.6,1094,1
2,Colts,Texans,Colts,232,88,21,8,215,57.8,84,18.9,1083,232,82,32,16,178,50.1,113,23.6,1094,0
10,Colts,Patriots,Colts,222,67,25,9,153,43.6,93,22.4,1020,232,82,32,16,178,50.1,113,23.6,1094,0
9,Colts,Panthers,Colts,249,85,48,23,150,42.9,111,24.9,1096,232,82,32,16,178,50.1,113,23.6,1094,0
3,Titans,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,212,71,20,11,158,52.0,103,23.2,1002,1
5,Titans,Colts,Colts,232,82,32,16,178,50.1,113,23.6,1094,212,71,20,11,158,52.0,103,23.2,1002,1
1,Titans,Saints,Saints,235,91,19,9,199,49.0,112,23.3,1121,212,71,20,11,158,52.0,103,23.2,1002,1
