Week,Away Team,Home Team,Winning Team,INT_home,INT TD_home,INT Yds_home,Lng_home,INT_away,INT TD_away,INT Yds_away,Lng_away,Home_Win
16,Packers,Panthers,Packers,8,2,203,99,7,1,68,37,0
5,Packers,Raiders,Raiders,13,3,268,75,7,1,68,37,1
5,Texans,Falcons,Falcons,8,1,124,92,14,0,63,33,1
18,Texans,Colts,Texans,15,3,256,66,14,0,63,33,0
1,Texans,Ravens,Ravens,18,1,258,52,14,0,63,33,1
14,Texans,Jets,Jets,17,2,212,51,14,0,63,33,1
10,Texans,Bengals,Texans,17,1,152,30,14,0,63,33,0
15,Texans,Titans,Texans,6,1,86,44,14,0,63,33,0
3,Texans,Jaguars,Texans,16,2,264,61,14,0,63,33,0
8,Texans,Panthers,Panthers,8,2,203,99,14,0,63,33,1
6,Commanders,Falcons,Commanders,8,1,124,92,8,0,85,52,0
2,Commanders,Broncos,Commanders,11,0,85,33,8,0,85,52,0
4,Commanders,Eagles,Eagles,9,2,207,99,8,0,85,52,1
10,Commanders,Seahawks,Seahawks,11,3,177,97,8,0,85,52,1
7,Commanders,Giants,Giants,18,3,404,102,8,0,85,52,1
16,Commanders,Jets,Jets,17,2,212,51,8,0,85,52,1
15,Commanders,Rams,Rams,10,0,100,42,8,0,85,52,1
12,Commanders,Cowboys,Cowboys,17,5,249,63,8,0,85,52,1
9,Commanders,Patriots,Commanders,10,0,96,32,8,0,85,52,0
9,Vikings,Falcons,Vikings,8,1,124,92,11,0,112,43,0
6,Vikings,Bears,Vikings,22,2,245,45,11,0,112,43,0
11,Vikings,Broncos,Broncos,11,0,85,33,11,0,112,43,1
2,Vikings,Eagles,Eagles,9,2,207,99,11,0,112,43,1
15,Vikings,Bengals,Bengals,17,1,152,30,11,0,112,43,1
18,Vikings,Lions,Lions,16,1,209,50,11,0,112,43,1
4,Vikings,Panthers,Vikings,8,2,203,99,11,0,112,43,0
8,Vikings,Packers,Vikings,7,1,68,37,11,0,112,43,0
14,Vikings,Raiders,Vikings,13,3,268,75,11,0,112,43,0
12,Saints,Falcons,Falcons,8,1,124,92,18,1,185,74,1
8,Saints,Colts,Saints,15,3,256,66,18,1,185,74,0
10,Saints,Vikings,Vikings,11,0,112,43,18,1,185,74,1
17,Saints,Buccaneers,Saints,13,1,93,28,18,1,185,74,0
6,Saints,Texans,Texans,14,0,63,33,18,1,185,74,1
16,Saints,Rams,Rams,10,0,100,42,18,1,185,74,1
5,Saints,Patriots,Saints,10,0,96,32,18,1,185,74,0
2,Saints,Panthers,Saints,8,2,203,99,18,1,185,74,0
3,Saints,Packers,Packers,7,1,68,37,18,1,185,74,1
14,Buccaneers,Falcons,Buccaneers,8,1,124,92,13,1,93,28,0
12,Buccaneers,Colts,Colts,15,3,256,66,13,1,93,28,1
1,Buccaneers,Vikings,Buccaneers,11,0,112,43,13,1,93,28,0
4,Buccaneers,Saints,Buccaneers,18,1,185,74,13,1,93,28,0
8,Buccaneers,Bills,Bills,18,2,148,40,13,1,93,28,1
9,Buccaneers,Texans,Texans,14,0,63,33,13,1,93,28,1
18,Buccaneers,Panthers,Buccaneers,8,2,203,99,13,1,93,28,0
11,Buccaneers,49ers,49ers,22,1,309,66,13,1,93,28,1
15,Buccaneers,Packers,Buccaneers,7,1,68,37,13,1,93,28,0
16,Colts,Falcons,Falcons,8,1,124,92,15,3,256,66,1
3,Colts,Ravens,Colts,18,1,258,52,15,3,256,66,0
14,Colts,Bengals,Bengals,17,1,152,30,15,3,256,66,1
13,Colts,Titans,Colts,6,1,86,44,15,3,256,66,0
6,Colts,Jaguars,Jaguars,16,2,264,61,15,3,256,66,1
2,Colts,Texans,Colts,14,0,63,33,15,3,256,66,0
10,Colts,Patriots,Colts,10,0,96,32,15,3,256,66,0
9,Colts,Panthers,Colts,8,2,203,99,15,3,256,66,0
3,Titans,Browns,Browns,18,2,135,34,6,1,86,44,1
5,Titans,Colts,Colts,15,3,256,66,6,1,86,44,1
1,Titans,Saints,Saints,18,1,185,74,6,1,86,44,1
9,Titans,Steelers,Steelers,16,1,184,32,6,1,86,44,1
10,Titans,Buccaneers,Buccaneers,13,1,93,28,6,1,86,44,1
11,Titans,Jaguars,Jaguars,16,2,264,61,6,1,86,44,1
17,Titans,Texans,Texans,14,0,63,33,6,1,86,44,1
14,Titans,Dolphins,Titans,15,4,270,99,6,1,86,44,0
4,Ravens,Browns,Ravens,18,2,135,34,18,1,258,52,0
5,Ravens,Steelers,Steelers,16,1,184,32,18,1,258,52,1
12,Ravens,Chargers,Ravens,9,0,31,9,18,1,258,52,0
2,Ravens,Bengals,Ravens,17,1,152,30,18,1,258,52,0
6,Ravens,Titans,Ravens,6,1,86,44,18,1,258,52,0
15,Ravens,Jaguars,Ravens,16,2,264,61,18,1,258,52,0
8,Ravens,Cardinals,Ravens,11,0,98,46,18,1,258,52,0
16,Ravens,49ers,Ravens,22,1,309,66,18,1,258,52,0
6,49ers,Browns,Browns,18,2,135,34,22,1,309,66,1
7,49ers,Vikings,Vikings,11,0,112,43,22,1,309,66,1
1,49ers,Steelers,49ers,16,1,184,32,22,1,309,66,0
17,49ers,Commanders,49ers,8,0,85,52,22,1,309,66,0
13,49ers,Eagles,49ers,9,2,207,99,22,1,309,66,0
12,49ers,Seahawks,49ers,11,3,177,97,22,1,309,66,0
10,49ers,Jaguars,49ers,16,2,264,61,22,1,309,66,0
2,49ers,Rams,49ers,10,0,100,42,22,1,309,66,0
15,49ers,Cardinals,49ers,11,0,98,46,22,1,309,66,0
9,Cardinals,Browns,Browns,18,2,135,34,11,0,98,46,1
13,Cardinals,Steelers,Cardinals,16,1,184,32,11,0,98,46,0
1,Cardinals,Commanders,Commanders,8,0,85,52,11,0,98,46,1
16,Cardinals,Bears,Bears,22,2,245,45,11,0,98,46,1
17,Cardinals,Eagles,Cardinals,9,2,207,99,11,0,98,46,0
7,Cardinals,Seahawks,Seahawks,11,3,177,97,11,0,98,46,1
11,Cardinals,Texans,Texans,14,0,63,33,11,0,98,46,1
6,Cardinals,Rams,Rams,10,0,100,42,11,0,98,46,1
4,Cardinals,49ers,49ers,22,1,309,66,11,0,98,46,1
11,Steelers,Browns,Browns,18,2,135,34,16,1,184,32,1
15,Steelers,Colts,Colts,15,3,256,66,16,1,184,32,1
18,Steelers,Ravens,Steelers,18,1,258,52,16,1,184,32,0
17,Steelers,Seahawks,Steelers,11,3,177,97,16,1,184,32,0
12,Steelers,Bengals,Steelers,17,1,152,30,16,1,184,32,0
4,Steelers,Texans,Texans,14,0,63,33,16,1,184,32,1
7,Steelers,Rams,Steelers,10,0,100,42,16,1,184,32,0
3,Steelers,Raiders,Steelers,13,3,268,75,16,1,184,32,0
14,Jaguars,Browns,Browns,18,2,135,34,16,2,264,61,1
1,Jaguars,Colts,Jaguars,15,3,256,66,16,2,264,61,0
7,Jaguars,Saints,Jaguars,18,1,185,74,16,2,264,61,0
8,Jaguars,Steelers,Jaguars,16,1,184,32,16,2,264,61,0
5,Jaguars,Bills,Jaguars,18,2,148,40,16,2,264,61,0
18,Jaguars,Titans,Titans,6,1,86,44,16,2,264,61,1
16,Jaguars,Buccaneers,Buccaneers,13,1,93,28,16,2,264,61,1
